timestamp,track_id,class_name,confidence,centroid_x,centroid_y
1788939147.590,0,motor,0.339,45.9,244.0
1788939147.738,6,truk/bus,0.268,238.0,168.2
1788939147.753,1,motor,0.817,99.5,252.4
1788939148.661,3,motor,0.728,463.7,164.7
1788939152.946,19,motor,0.757,17.9,237.1
1788939159.430,25,mobil,0.948,59.2,245.7
1788939161.294,24,motor,0.727,341.7,142.7
1788939161.666,28,motor,0.733,431.8,159.5
1788939163.742,32,motor,0.740,388.4,151.7
1788939165.394,37,mobil,0.785,35.5,239.1
1788939165.448,26,truk/bus,0.876,471.3,166.9
1788939165.465,35,motor,0.749,335.5,143.6
1788939166.100,46,truk/bus,0.240,249.4,129.7
1788939168.006,47,motor,0.741,379.5,149.5
1788939169.868,52,motor,0.794,15.3,237.2
1788939172.168,8,mobil,0.937,331.4,141.7
1788939172.658,54,motor,0.774,377.1,149.1
1788939174.021,60,motor,0.833,40.8,240.9
1788939176.373,56,truk/bus,0.910,455.8,165.7
1788939178.257,65,motor,0.813,100.7,247.8
1788939178.401,66,motor,0.762,22.7,239.3
1788939178.503,61,mobil,0.940,346.5,145.8
